排名,球员,球队,场次,得分,二分,三分,罚球,篮板,前篮板,后篮板,助攻,抢断,扣篮,盖帽,失误,犯规,效率
308,班铎,北控,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
309,丁皓然,青岛,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
310,张展玮,广州,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
311,王睿泽,青岛,1,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00
312,热甫卡提江-吐送江,新疆,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
313,郭金林,吉林,2,0.0,0.0-0.5,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-1.00
314,孔德高,吉林,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
315,李泓翰,山东,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
316,方渭博,广东,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
317,于德豪,深圳,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
318,常亚松,北控,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
319,张智涵,天津,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
320,孟祥龙,天津,1,0.0,0.0-0.0,0.0-0.0,0.0-0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.00
321,孟令源,上海,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
322,王征,北控,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
323,于梁,北控,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
324,周鹏,广东,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
