球员,球队,OffensiveRating,DefensiveRating,NetRating,UsagePercent,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,Game_ID,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
任骏威,山西,117.15772565837493,120.03137646923501,-2.8736508108600844,17.924603713146432,290,905,28,36,99,56,55,19,40,7,2,80,386,58556858004237,88,175,47,102,69,87,28
刘冠岑,山西,108.85486108174018,117.72298900965971,-8.86812792791953,11.193283012846226,493,839,28,37,48,39,70,33,26,8,10,54,202,58556858004237,61,104,19,55,23,47,28
闫鹏飞,山西,109.0638368470626,118.31601795439205,-9.252181107329449,22.964428618192994,261,413,0,33,54,10,65,8,23,15,17,39,208,58556858004237,87,151,4,17,22,38,28
邢志强,山西,108.08407418055066,120.02797124979134,-11.943897069240677,22.920415734938658,348,402,1,21,43,16,48,5,21,9,2,19,201,58556858004237,23,65,48,107,11,20,23
葛昭宝,山西,101.22991420558019,117.65174707076467,-16.421832865184484,19.638026619087935,1015,396,27,34,46,21,63,14,17,6,0,30,144,58556858004237,55,123,4,18,22,28,28
卡梅伦-佩恩,山西,96.07080856721946,114.72631225470742,-18.655503687487965,32.88836731700162,44,68,2,2,10,15,8,9,7,1,0,13,45,4038404000442,13,24,4,14,7,10,2
田桂森,山西,90.59559437394607,117.53093531886881,-26.935340944922743,16.028320472319596,0,393,1,7,37,35,32,16,25,4,2,17,115,58556858004237,33,66,14,43,7,9,29
滕贺麒,山西,89.4143432711829,116.85199480454162,-27.437651533358718,8.56986253948564,232,52,0,1,5,3,12,2,1,1,0,6,7,58556858004237,2,4,0,3,3,4,5
郭晓鹏,山西,89.38508890745344,120.45083546313303,-31.065746555679596,14.063003937746107,29,310,1,11,14,11,42,6,11,0,0,16,73,58556858004237,16,41,11,36,8,17,24
张泽龙,山西,69.2377006689226,121.49486346173963,-52.25716279281703,15.341458841177573,696,80,0,4,8,3,4,1,4,0,1,1,14,58556858004237,6,13,0,9,2,2,10
刘春庆,山西,64.0039715461287,122.75485309878984,-58.75088155266114,14.46480405025314,174,75,0,2,6,11,9,0,8,0,0,6,12,58556858004237,5,11,0,3,2,4,7
张涵钧,山西,50.75003721716639,119.53683624771833,-68.78679903055195,13.799195783069774,725,36,0,0,2,5,4,1,3,0,0,3,4,58556858004237,1,3,0,4,2,2,6
卫猛,山西,,,,,551,0,0,0,0,0,0,0,0,0,0,0,0,58556858004237,0,0,0,0,0,0,0
詹姆斯-梅斯,山东,120.30348159303423,113.37086725983157,6.932614333202665,24.082340638680005,1120,773,2,100,176,43,77,46,51,31,19,135,437,56537656003898,158,269,5,21,106,152,28
陶汉林,山东,119.60771697011677,117.9158837249733,1.6918332451434708,19.284553961958185,580,854,24,63,131,36,105,22,37,34,63,99,397,58556858004179,159,270,0,1,79,124,29
哈德森,山东,115.05961719081064,116.65748678065845,-1.5978695898478037,32.93408284377744,0,1049,27,35,182,222,87,53,113,13,1,165,826,58556858004179,132,225,143,357,133,149,28
侯沛佐,山东,114.81511853577173,118.50955410030096,-3.694435564529229,10.179157152886994,290,264,5,14,30,14,29,9,14,3,0,18,63,58556858004179,11,21,10,18,11,14,22
陈培东,山东,113.00234548968314,118.0534205477584,-5.05107505807527,17.539761065661487,1276,499,12,13,36,44,42,22,27,0,0,25,209,58556858004179,50,77,31,79,16,22,27
王汝恒,山东,109.04039890566604,114.68304068951704,-5.642641783851005,15.980529189612636,600,663,10,5,33,65,59,43,29,1,0,60,236,50480050004092,38,73,38,107,46,54,21
李敬宇,山东,112.39144715495112,121.27395602580148,-8.882508870850359,14.329102818182685,232,932,24,27,77,56,85,14,33,2,0,32,307,58556858004179,57,108,58,142,19,25,29
贾诚,山东,106.68149446055071,118.7297763806385,-12.048281920087788,19.29498947499329,667,683,26,49,131,29,89,15,46,22,17,62,278,58556858004179,89,167,16,45,52,73,28
朱荣振,山东,98.67239661983635,119.10104867166248,-20.428652051826134,23.53196732004668,1015,82,1,10,9,0,22,1,10,3,2,11,37,58556858004179,13,25,0,0,11,17,14
张庆鹏,山东,96.2614616189316,117.4198982132773,-21.1584365943457,15.173497990967102,261,453,3,7,30,61,38,22,35,1,0,47,134,58556858004179,16,24,26,80,24,28,25
孙贺男,山东,101.28486576282114,123.1631822823652,-21.878316519544057,16.74558126439521,899,37,0,2,6,1,3,0,3,0,0,3,13,58556858004179,2,3,2,5,3,6,7
张辉,山东,93.6455974503077,118.96308558232546,-25.317488132017758,13.803104942513258,116,186,6,5,14,11,38,6,10,0,0,8,47,58556858004179,7,21,9,22,6,8,15
